animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,5 months,6 months,Stray,Normal,Adoption,7.289583333333334
Dog,Flat Coat Retriever Mix,Intact Female,Spayed Female,5 years,6 years,Stray,Normal,Adoption,458.0048611111111
Dog,Rottweiler Mix,Spayed Female,Spayed Female,5 years,5 years,Owner Surrender,Normal,Adoption,7.183333333333334
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,4 weeks,2 months,Stray,Normal,Transfer,59.74236111111111
Dog,Blue Lacy Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,9.156944444444443
Dog,Pointer Mix,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Return to Owner,3.2159722222222222
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 months,2 months,Stray,Normal,Transfer,2.9750000000000005
Dog,Pit Bull Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Return to Owner,0.19236111111111112
Dog,Australian Cattle Dog Mix,Intact Male,Neutered Male,6 years,6 years,Public Assist,Normal,Return to Owner,11.278472222222224
Dog,Pomeranian Mix,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Adoption,3.969444444444445
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 weeks,2 weeks,Stray,Normal,Transfer,0.00486111111111111
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 weeks,3 weeks,Stray,Nursing,Transfer,0.732638888888889
Dog,Pit Bull,Intact Female,Spayed Female,2 weeks,2 months,Stray,Nursing,Adoption,73.14722222222223
Dog,Pit Bull/German Shepherd,Neutered Male,Neutered Male,1 year,1 year,Stray,Sick,Adoption,70.55694444444444
Dog,Miniature Schnauzer Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,1.946527777777778
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,12 years,12 years,Stray,Normal,Transfer,2.0034722222222223
Cat,Domestic Shorthair Mix,Unknown,Unknown,1 weeks,1 weeks,Stray,Normal,Transfer,0.10208333333333332
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,6 months,6 months,Stray,Normal,Adoption,4.168055555555555
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 weeks,1 month,Stray,Normal,Adoption,18.972916666666663
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,3 years,4 years,Owner Surrender,Normal,Adoption,76.33888888888889
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,8 years,8 years,Stray,Normal,Adoption,4.085416666666666
Dog,Boxer Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,3.828472222222222
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Transfer,14.901388888888889
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,6 years,6 years,Stray,Injured,Transfer,56.10347222222222
Dog,Jack Russell Terrier Mix,Intact Female,Spayed Female,9 months,10 months,Stray,Normal,Adoption,4.065972222222222
Dog,Maltese,Spayed Female,Spayed Female,13 years,13 years,Owner Surrender,Normal,Adoption,37.69166666666667
Dog,Great Pyrenees/Border Collie,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Adoption,11.981944444444446
Cat,Siamese Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Transfer,10.080555555555556
Dog,German Shepherd Mix,Neutered Male,Neutered Male,5 years,5 years,Public Assist,Normal,Return to Owner,6.958333333333333
