animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,4.347916666666666
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,1 month,3 months,Stray,Sick,Transfer,49.571527777777774
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,2 years,2 years,Stray,Normal,Transfer,23.295833333333334
Dog,Border Collie/Jack Russell Terrier,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,9.911111111111111
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,2 weeks,2 weeks,Stray,Normal,Transfer,0.5305555555555556
Dog,Pit Bull Mix,Intact Female,Intact Female,3 years,3 years,Stray,Normal,Transfer,27.853472222222223
Dog,Catahoula Mix,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,11.997222222222224
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,3 weeks,1 month,Stray,Normal,Adoption,34.1125
Dog,Labrador Retriever/Whippet,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Transfer,30.09513888888889
Dog,German Shepherd Mix,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Transfer,9.120833333333334
Dog,Dachshund Mix,Intact Male,Neutered Male,5 months,5 months,Stray,Normal,Transfer,6.111111111111111
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,1 year,1 year,Public Assist,Normal,Transfer,23.181944444444447
Dog,Plott Hound Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,4.236111111111111
Dog,Jack Russell Terrier/Rat Terrier,Intact Male,Intact Male,6 months,6 months,Stray,Normal,Return to Owner,1.1840277777777777
Dog,Rat Terrier Mix,Neutered Male,Neutered Male,10 years,10 years,Stray,Normal,Return to Owner,4.881944444444445
Cat,Domestic Shorthair,Intact Male,Intact Male,2 days,2 days,Stray,Nursing,Transfer,0.44305555555555554
Dog,Chihuahua Shorthair/Pomeranian,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Transfer,4.1625
Dog,Pit Bull Mix,Intact Male,Neutered Male,7 months,8 months,Stray,Normal,Adoption,22.272222222222226
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,6.232638888888889
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,16.208333333333332
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Injured,Died,28.508333333333333
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Public Assist,Normal,Return to Owner,10.078472222222222
Dog,Australian Kelpie Mix,Neutered Male,Neutered Male,10 years,10 years,Stray,Normal,Return to Owner,0.33055555555555555
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Euthanasia,0.16666666666666666
Dog,Dachshund Mix,Spayed Female,Spayed Female,10 years,11 years,Stray,Injured,Transfer,6.336111111111111
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 weeks,1 weeks,Stray,Normal,Transfer,0.08472222222222223
Dog,Pit Bull/Boxer,Intact Female,Intact Female,2 years,2 years,Public Assist,Normal,Euthanasia,7.1506944444444445
Dog,Norwich Terrier Mix,Intact Male,Neutered Male,7 months,8 months,Stray,Injured,Return to Owner,24.03194444444445
Dog,Catahoula/Labrador Retriever,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,11.122222222222224
Cat,Domestic Shorthair Mix,Unknown,Unknown,1 week,1 week,Stray,Normal,Transfer,0.05416666666666667
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,12.254861111111111
Dog,Pit Bull Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Transfer,124.24791666666668
Dog,Dachshund/Chihuahua Shorthair,Intact Female,Spayed Female,9 months,11 months,Stray,Normal,Adoption,79.13263888888889
Dog,Boston Terrier,Neutered Male,Neutered Male,10 years,10 years,Stray,Normal,Return to Owner,0.5979166666666667
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,6.064583333333334
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,6 months,6 months,Owner Surrender,Normal,Transfer,12.104166666666668
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,4.986805555555556
Dog,Border Collie Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,33.24513888888889
Dog,Catahoula Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,35.75555555555555
Dog,Pit Bull Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,0.12291666666666666
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Transfer,0.7111111111111112
Dog,Cavalier Span Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,3.25
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 days,6 days,Stray,Normal,Transfer,3.88125
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 months,3 months,Stray,Normal,Transfer,45.52986111111112
Dog,Great Pyrenees Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,15.34027777777778
Dog,Yorkshire Terrier Mix,Intact Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Transfer,1.9722222222222223
Dog,Rat Terrier Mix,Neutered Male,Neutered Male,8 years,8 years,Stray,Injured,Return to Owner,6.885416666666667
Dog,German Shepherd Mix,Intact Male,Neutered Male,6 months,6 months,Stray,Normal,Adoption,5.250694444444444
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Transfer,0.6194444444444445
Dog,Labrador Retriever/Pit Bull,Intact Male,Neutered Male,7 months,9 months,Stray,Normal,Transfer,57.266666666666666
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Owner Surrender,Normal,Adoption,3.0965277777777778
Dog,American Staffordshire Terrier,Unknown,Unknown,1 day,2 days,Stray,Nursing,Died,1.2125
Dog,American Pit Bull Terrier Mix,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Transfer,2.781944444444445
Dog,Pit Bull Mix,Intact Male,Neutered Male,6 months,6 months,Stray,Normal,Return to Owner,4.226388888888889
Dog,German Shepherd Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Return to Owner,0.925
Dog,Lhasa Apso/Miniature Poodle,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,17.9875
Dog,Labrador Retriever/Greyhound,Neutered Male,Neutered Male,6 years,6 years,Stray,Normal,Adoption,188.95069444444448
Dog,Australian Cattle Dog Mix,Neutered Male,Neutered Male,7 years,7 years,Owner Surrender,Normal,Return to Owner,2.9534722222222225
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,11 months,10 months,Owner Surrender,Normal,Adoption,39.99930555555556
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,4.332638888888889
Dog,Cairn Terrier Mix,Neutered Male,Neutered Male,7 years,7 years,Owner Surrender,Normal,Transfer,1.1513888888888888
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.304861111111111
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 months,7 months,Stray,Normal,Adoption,138.20625
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 month,1 month,Stray,Normal,Transfer,2.202777777777778
Dog,Pit Bull Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,7.909027777777778
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,25.836111111111112
Dog,German Shepherd/Labrador Retriever,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,6.095138888888889
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,5.7125
Cat,Siamese Mix,Intact Female,Intact Female,1 weeks,1 weeks,Stray,Normal,Transfer,0.02708333333333333
Dog,Rottweiler Mix,Intact Male,Intact Male,3 years,3 years,Stray,Normal,Return to Owner,3.046527777777778
Dog,Pit Bull Mix,Intact Female,Spayed Female,7 months,8 months,Owner Surrender,Normal,Adoption,22.322222222222223
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,0 years,1 day,Public Assist,Nursing,Died,0.7965277777777777
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,32.2875
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Transfer,11.105555555555556
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 weeks,2 weeks,Stray,Normal,Transfer,0.11041666666666666
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,3.1
Dog,Miniature Schnauzer Mix,Intact Female,Intact Female,6 months,7 months,Stray,Normal,Return to Owner,3.0333333333333337
Cat,Siamese Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,28.2875
Dog,Rat Terrier Mix,Intact Male,Neutered Male,3 months,3 months,Stray,Normal,Transfer,4.072916666666667
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,3 years,3 years,Owner Surrender,Injured,Euthanasia,0.00902777777777777
Dog,Dachshund Mix,Neutered Male,Neutered Male,5 years,5 years,Owner Surrender,Normal,Transfer,12.188194444444443
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 month,3 months,Stray,Normal,Adoption,51.985416666666666
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,0.8895833333333333
Dog,Australian Shepherd Mix,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Adoption,13.268055555555556
Cat,Domestic Longhair Mix,Intact Female,Intact Female,3 years,3 years,Stray,Normal,Transfer,3.326388888888889
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,3 months,Stray,Normal,Adoption,8.072916666666666
Dog,English Setter Mix,Intact Male,Intact Male,6 years,6 years,Stray,Normal,Return to Owner,0.10694444444444444
Dog,Miniature Poodle Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,4.115277777777778
Dog,Papillon Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Adoption,5.04375
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 weeks,2 months,Stray,Normal,Adoption,57.18888888888889
Dog,Pit Bull Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,81.06388888888888
Dog,Bulldog Mix,Spayed Female,Spayed Female,4 years,3 years,Owner Surrender,Normal,Return to Owner,465.8020833333333
Dog,Pembroke Welsh Corgi Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,4.647222222222222
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,4.972916666666666
Dog,Plott Hound Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Adoption,74.9486111111111
Dog,Rat Terrier Mix,Spayed Female,Spayed Female,5 years,5 years,Stray,Normal,Return to Owner,0.8590277777777777
Dog,Pit Bull Mix,Intact Male,Intact Male,1 weeks,1 weeks,Owner Surrender,Normal,Transfer,0.09791666666666668
Dog,Dachshund Mix,Intact Female,Intact Female,2 months,2 months,Owner Surrender,Normal,Transfer,0.4909722222222222
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 days,2 months,Stray,Normal,Adoption,68.34930555555556
Dog,Tibetan Spaniel Mix,Intact Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Adoption,2.21875
Dog,Flat Coat Retriever Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,4.177083333333333
Dog,Miniature Poodle Mix,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Adoption,0.9041666666666668
Dog,Jack Russell Terrier/Australian Cattle Dog,Intact Male,Intact Male,2 years,2 years,Stray,Normal,Return to Owner,0.7361111111111112
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,1 month,Owner Surrender,Normal,Adoption,14.12847222222222
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Adoption,62.84722222222222
Dog,Dachshund Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,4.266666666666667
Cat,Domestic Shorthair Mix,Unknown,Unknown,3 weeks,3 weeks,Stray,Normal,Transfer,0.07777777777777778
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,8 months,9 months,Owner Surrender,Normal,Adoption,35.09722222222222
Dog,German Shepherd Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Return to Owner,1.1034722222222222
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,13.02361111111111
Dog,Standard Poodle Mix,Intact Male,Neutered Male,6 months,6 months,Stray,Normal,Adoption,5.316666666666666
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 weeks,3 weeks,Stray,Normal,Transfer,0.04375
Cat,Domestic Medium Hair Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,5.988194444444445
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,2 months,Stray,Normal,Adoption,7.153472222222222
Dog,Doberman Pinsch Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Transfer,5.260416666666667
Dog,American Bulldog Mix,Intact Male,Neutered Male,7 months,8 months,Stray,Normal,Adoption,28.243055555555557
Cat,Domestic Medium Hair Mix,Neutered Male,Neutered Male,6 years,6 years,Owner Surrender,Normal,Adoption,81.07986111111111
Dog,American Pit Bull Terrier Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Adoption,3.29375
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 years,4 years,Stray,Normal,Transfer,3.9472222222222224
Dog,Pit Bull Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,11.24652777777778
Dog,Anatol Shepherd Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,5.0784722222222225
Dog,German Shepherd/Border Collie,Intact Male,Neutered Male,9 months,10 months,Stray,Normal,Adoption,18.096527777777776
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Transfer,1.1930555555555555
Dog,Black Mouth Cur Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,4.002083333333333
Dog,Boxer Mix,Neutered Male,Neutered Male,11 years,11 years,Stray,Injured,Euthanasia,4.086111111111111
Dog,Chihuahua Shorthair Mix,Spayed Female,Spayed Female,9 years,9 years,Stray,Normal,Return to Owner,0.8090277777777778
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,2 years,2 years,Stray,Normal,Return to Owner,0.05902777777777777
Dog,Boxer Mix,Intact Male,Intact Male,2 months,2 months,Owner Surrender,Normal,Transfer,0.15486111111111112
Dog,Harrier Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,3.295138888888889
Dog,German Shepherd Mix,Neutered Male,Neutered Male,10 years,10 years,Owner Surrender,Aged,Adoption,188.67847222222224
Dog,Toy Poodle Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,0.15625
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,6 years,6 years,Stray,Normal,Return to Owner,0.9493055555555556
Cat,Domestic Longhair Mix,Intact Female,Intact Female,5 months,6 months,Stray,Normal,Euthanasia,4.969444444444444
Cat,Domestic Shorthair Mix,Unknown,Unknown,1 weeks,1 weeks,Stray,Normal,Transfer,0.03472222222222222
Cat,Domestic Shorthair Mix,Unknown,Unknown,4 months,4 months,Stray,Normal,Transfer,2.7659722222222225
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,5.154166666666667
Dog,Pit Bull Mix,Neutered Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Rto-Adopt,2.2041666666666666
Dog,German Shepherd Mix,Neutered Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,4.997222222222222
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Adoption,3.886111111111111
Cat,Domestic Medium Hair Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,0.13194444444444445
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,5.764583333333334
Cat,Domestic Shorthair,Intact Male,Intact Male,4 weeks,2 months,Stray,Normal,Transfer,31.027083333333337
Dog,Cairn Terrier Mix,Intact Female,Spayed Female,3 months,3 months,Owner Surrender,Normal,Adoption,2.2618055555555556
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,0 years,2 days,Stray,Normal,Transfer,1.8125
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,7.134722222222222
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Public Assist,Sick,Transfer,34.84166666666667
Dog,Rottweiler,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Return to Owner,0.29791666666666666
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,15.028472222222222
Cat,Domestic Longhair Mix,Unknown,Unknown,2 months,2 months,Stray,Normal,Euthanasia,0.08472222222222223
Dog,Border Collie Mix,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Return to Owner,0.0902777777777778
Dog,Australian Kelpie Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Transfer,0.4013888888888889
Dog,Kuvasz Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,4.872222222222222
Dog,German Shepherd Mix,Intact Female,Intact Female,9 months,9 months,Stray,Normal,Transfer,6.913888888888889
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,9 years,9 years,Stray,Normal,Transfer,3.9916666666666663
Dog,Australian Shepherd Mix,Intact Female,Spayed Female,11 years,12 years,Stray,Normal,Adoption,13.077083333333333
Dog,Dachshund Mix,Intact Male,Neutered Male,4 months,5 months,Stray,Normal,Adoption,4.114583333333333
Dog,German Shepherd Mix,Intact Male,Neutered Male,10 months,10 months,Stray,Normal,Adoption,10.802777777777775
Dog,Australian Shepherd Mix,Intact Male,Neutered Male,2 years,3 years,Owner Surrender,Normal,Euthanasia,8.013194444444444
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Adoption,0.2604166666666667
Dog,Catahoula Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,6.068055555555556
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,3 months,3 months,Stray,Normal,Transfer,0.925
Cat,Domestic Shorthair Mix,Unknown,Unknown,3 weeks,3 weeks,Stray,Sick,Transfer,0.8097222222222222
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,5.186111111111111
Dog,Miniature Schnauzer Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,4.2444444444444445
Dog,German Shepherd Mix,Intact Male,Intact Male,2 years,2 years,Owner Surrender,Normal,Euthanasia,17.00625
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 weeks,4 months,Stray,Normal,Adoption,124
Dog,Labrador Retriever,Neutered Male,Neutered Male,3 years,3 years,Stray,Injured,Return to Owner,0.10069444444444443
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,5 months,5 months,Stray,Normal,Transfer,9.859027777777778
Dog,Bruss Griffon Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,0.9347222222222222
Cat,Domestic Longhair Mix,Intact Male,Intact Male,2 years,2 years,Stray,Injured,Transfer,5.111805555555556
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,4 months,4 months,Stray,Normal,Transfer,0.8881944444444444
Cat,American Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Injured,Adoption,35.739583333333336
Dog,Pit Bull Mix,Intact Female,Intact Female,1 month,2 months,Owner Surrender,Sick,Euthanasia,5.734027777777778
Dog,Boxer/Pit Bull,Neutered Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,23.920833333333334
Dog,Dachshund Longhair Mix,Intact Male,Intact Male,6 months,6 months,Stray,Injured,Return to Owner,1.2527777777777778
Dog,American Bulldog Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,63.25625
Dog,Chihuahua Shorthair Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Return to Owner,5.293055555555555
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,8 months,8 months,Stray,Normal,Transfer,11.06527777777778
Dog,Lhasa Apso/Miniature Poodle,Intact Male,Intact Male,3 years,3 years,Stray,Normal,Transfer,3.0236111111111112
Dog,Miniature Schnauzer,Neutered Male,Neutered Male,9 months,10 months,Stray,Normal,Transfer,3.886111111111111
Dog,Silky Terrier,Neutered Male,Neutered Male,8 years,8 years,Owner Surrender,Normal,Adoption,3.0381944444444446
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 weeks,1 month,Stray,Normal,Adoption,48.368750000000006
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Normal,Transfer,1.10625
Dog,Pit Bull/Weimaraner,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,10.968750000000002
Dog,Miniature Pinscher Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,9.796527777777778
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,7 years,7 years,Public Assist,Normal,Return to Owner,8.815972222222221
Dog,Mexican Hairless Mix,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Transfer,4.054166666666666
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,1 weeks,1 weeks,Stray,Nursing,Transfer,0.16875
Dog,Miniature Poodle Mix,Intact Male,Neutered Male,9 months,9 months,Stray,Injured,Adoption,4.0569444444444445
Dog,Siberian Husky Mix,Intact Female,Intact Female,3 months,3 months,Owner Surrender,Injured,Transfer,19.15277777777778
Dog,Catahoula Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,3.7875
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,4 months,4 months,Stray,Normal,Transfer,4.138888888888889
Cat,Domestic Longhair Mix,Intact Male,Neutered Male,2 months,5 months,Stray,Injured,Adoption,91.01805555555556
Dog,Leonberger Mix,Intact Male,Neutered Male,1 year,2 years,Owner Surrender,Normal,Adoption,9.01388888888889
Dog,Plott Hound Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,29.21875
Dog,Pointer Mix,Intact Male,Neutered Male,4 months,4 months,Stray,Normal,Adoption,6.184722222222222
Cat,Domestic Shorthair,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.329166666666667
Dog,Maltese/Miniature Poodle,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,3.145138888888889
Dog,Pit Bull Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,1.6736111111111112
Cat,Turkish Angora Mix,Intact Male,Intact Male,1 month,2 months,Owner Surrender,Normal,Transfer,12.065972222222223
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Normal,Transfer,0.3055555555555556
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,2 months,2 months,Owner Surrender,Normal,Transfer,16.100694444444443
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,4 months,4 months,Stray,Normal,Transfer,11.177083333333334
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,3 years,4 years,Owner Surrender,Normal,Adoption,164.86527777777778
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,12 years,12 years,Stray,Sick,Transfer,7.822916666666667
Dog,Catahoula Mix,Spayed Female,Spayed Female,4 years,4 years,Owner Surrender,Normal,Adoption,22.19930555555556
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,4 years,4 years,Stray,Normal,Adoption,4.208333333333333
Dog,Pit Bull Mix,Intact Male,Neutered Male,4 weeks,2 months,Stray,Normal,Adoption,31.028472222222224
Dog,Pit Bull,Intact Male,Intact Male,2 years,2 years,Public Assist,Normal,Return to Owner,2.220833333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.2868055555555555
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,1.0243055555555556
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Transfer,8.040972222222223
Dog,Catahoula Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Transfer,2.994444444444445
Dog,Pit Bull Mix,Intact Female,Intact Female,3 years,3 years,Stray,Normal,Transfer,7.002083333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 weeks,3 months,Stray,Normal,Adoption,95.65208333333334
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,1 month,1 month,Owner Surrender,Sick,Transfer,2.8888888888888893
Dog,Australian Cattle Dog Mix,Intact Male,Neutered Male,6 months,6 months,Stray,Normal,Adoption,7.175
Dog,Cairn Terrier Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,0.03958333333333333
Dog,Labrador Retriever Mix,Intact Female,Intact Female,4 months,4 months,Stray,Sick,Transfer,0.2916666666666667
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,7.107638888888889
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Adoption,2.1152777777777776
Dog,Shih Tzu Mix,Neutered Male,Neutered Male,4 years,4 years,Public Assist,Normal,Return to Owner,7.106944444444444
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,4 months,5 months,Stray,Normal,Adoption,4.870138888888889
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,2 weeks,3 weeks,Owner Surrender,Normal,Transfer,1.8784722222222223
Dog,Australian Cattle Dog Mix,Intact Male,Neutered Male,1 month,2 months,Owner Surrender,Normal,Adoption,2.2395833333333335
Dog,German Shepherd Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Return to Owner,0.2048611111111111
Dog,Labrador Retriever/Australian Shepherd,Intact Female,Spayed Female,0 years,1 month,Stray,Normal,Adoption,56.175
Dog,Chihuahua Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Public Assist,Normal,Return to Owner,5.2555555555555555
Dog,Pug,Intact Male,Intact Male,2 years,2 years,Stray,Normal,Return to Owner,0.26875
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Transfer,18.95694444444445
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Owner Surrender,Normal,Return to Owner,4.179166666666666
Dog,Pit Bull Mix,Intact Female,Intact Female,2 weeks,3 weeks,Public Assist,Normal,Return to Owner,6.852083333333334
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,8.108333333333333
